Level: State
Unit:Total (thousands), Nominal
State,Year,(R01) Total Revenue,(R03) General Revenue,(E001) Total Expenditure,(E013) General Expenditure,(E024) Total Educ-Direct Exp,(E027) Elem Educ-Direct Exp,(E030) Total High Ed-Dir Exp,(E031) Total High Ed-Cur Oper,(E036) Educational Assistance (E19),(E052) Health & Hosp-Dir Exp,(E053) Health & Hosp-Cur Oper,(E054) Health & Hosp-Cap Out,(E055) Health-Direct Expend,(E056) Health-Current Oper (E32)
Ohio,2008,$       65560795,$       54382534,$       67788590,$       54580967,$        9186643,$              0,$        7251330,$        6497685,$        1472702,$        3552976,$        3453083,$          99893,$        1463405,$        1443954
Ohio,2009,$       26133949,$       54766763,$       71862926,$       56813211,$        9249292,$              0,$        7352802,$        6576353,$        1471320,$        3789179,$        3617732,$         171447,$        1337389,$        1325370
Ohio,2010,$       88677168,$       57818101,$       76690552,$       57813231,$       10353490,$              0,$        7585836,$        6729041,$        1378487,$        3873315,$        3773427,$          99888,$        1300731,$        1288337
Ohio,2011,$       97037604,$       62004987,$       78517498,$       60229276,$       10569867,$              0,$        7940358,$        6931823,$        1349662,$        4085651,$        3988180,$          97471,$        1425289,$        1410898
Ohio,2012,$       69198058,$       57875819,$       76768108,$       59069961,$        9891957,$              0,$        8073890,$        7007577,$        1005569,$        3685661,$        3527076,$         158585,$        1149124,$        1138906
Ohio,2013,$       87953693,$       59558504,$       76412160,$       59611966,$       10835820,$              0,$        9167678,$        7192809,$        1058247,$        4033172,$        3914300,$         118872,$        1383150,$        1376335
Ohio,2014,$       95331099,$       60973801,$       80733876,$       61939324,$       10505267,$              0,$        8808019,$        7277224,$        1070849,$        4063489,$        3953023,$         110466,$        1338537,$        1331747
Ohio,2015,$       83104911,$       64376296,$       82701205,$       65287289,$       10315328,$              0,$        8817586,$        7232679,$        1191783,$        3939594,$        3646381,$         293213,$        1054809,$        1050446
Ohio,2016,$       77605790,$       67200871,$       85802240,$       67788779,$       10215712,$              0,$        8878054,$        7258691,$        1123347,$        4031062,$        3878316,$         152746,$        1082275,$        1077096
Ohio,2017,$       97791061,$       68715654,$       87473142,$       69245836,$       10554846,$              0,$        9037788,$        7744144,$        1288344,$        4400609,$        4213789,$         186820,$        1107062,$        1102567
Oklahoma,1990,$        7223144,$        5977475,$        6514532,$        5612348,$        1097879,$          10814,$         962311,$         897485,$          43335,$         417784,$         400474,$          17310,$         124769,$         120790
Oklahoma,1991,$        7819349,$        6654808,$        7266779,$        6270902,$        1056755,$          11490,$         910571,$         822516,$          48629,$         472769,$         459800,$          12969,$         159479,$         156367
Oklahoma,1992,$        8269729,$        6831935,$        8183213,$        7062982,$        1244988,$          14571,$        1085060,$        1010587,$          57802,$         521932,$         508199,$          13733,$         191525,$         187376
Oklahoma,1993,$        8609971,$        7205620,$        8272337,$        7057834,$        1247805,$          13593,$        1084173,$        1013660,$          61212,$         535850,$         514423,$          21427,$         208207,$         203902
Oklahoma,1994,$        9184296,$        7467656,$        8492554,$        7221225,$        1287754,$          14263,$        1119539,$        1040684,$          63699,$         506590,$         493243,$          13347,$         203740,$         199263
Oklahoma,1995,$        9334061,$        7724102,$        8989785,$        7566468,$        1384451,$          14422,$        1206715,$        1073783,$          65361,$         503130,$         490259,$          12871,$         216928,$         210747
Oklahoma,1996,$       10609104,$        8155980,$        9265486,$        7911728,$        1436800,$          14790,$        1267767,$        1139704,$          68341,$         524710,$         511076,$          13634,$         242238,$         235339
Oklahoma,1997,$       11327842,$        8703926,$        9592711,$        8286451,$        1559883,$          17994,$        1367707,$        1245683,$          77460,$         547774,$         534142,$          13632,$         257374,$         250847
Oklahoma,1998,$       12409544,$        9411095,$        9968557,$        8693045,$        1669712,$          17071,$        1454613,$        1364928,$          86004,$         530768,$         515660,$          15108,$         273964,$         266835
